Id,Name,Longitude,Latitude
155,HART STREET - SWAN TERRACE RN,138.486825503898,-34.8452623035395
156,PORT WAKEFIELD ROAD - GLOBE DERBY DRIVE,138.596424367706,-34.7997177484568
157,PORT WAKEFIELD ROAD -SALISBURY HWY RAMP,138.597535313734,-34.8107649773422
158,MAIN NORTH ROAD  SOUTH TERRACE,138.611565461334,-34.8321092844531
159,BRIENS ROAD -BRIDGE ROAD -SOUTH TERRACE,138.624076532163,-34.8380699019704
160,PROSPECT ROAD - GRAND JUNCTION ROAD,138.591383870524,-34.8485870338075
162,SOUTH ROAD - DAY TERRACE,138.56694986045,-34.8992143056008
163,BURBRIDGE ROAD - AIRPORT ROAD,138.541235740404,-34.9326188100772
164,TAPLEYS HILL ROAD - BURBRIDGE ROAD,138.517331495599,-34.9343590200339
165,SOUTH ROAD -WHEATSHEAF ROAD -FLAXMILL ROAD,138.523653896947,-35.1262446112418
166,HENLEY BEACH ROAD - ROWELLS ROAD,138.534836212082,-34.9269991339103
167,HENLEY BEACH ROAD -AIRPORT ROAD,138.543817212489,-34.9249725255323
168,NORTH EAST ROAD  SMITH ST,138.612144572389,-34.8903660099985
169,TORRENS ROAD -LIBERTON AVE ROSETTA STREET,138.563567788609,-34.8844344264339
170,PORT ROAD - ROSETTA ST,138.554373698687,-34.8938143555628
171,MORPHETT ROAD  - MARION SHOPPINGTOWN ACCESS,138.540774339378,-35.0157962862047
172,DIAGONAL ROAD - MARION SHOPPING CENTRE,138.545020454573,-35.014142486972
173,NEWTON ROAD-MONTACUTE ROAD-STBERNARDS ROAD,138.67422890536,-34.8886134194198
174,SOUTH ROAD -O SULLIVANS BEACH ROAD -BAINS ROAD,138.522873667877,-35.1157809795383
175,PAYNEHAM ROAD - LAMBERT ROAD RN,138.634147856557,-34.9021462528548
176,GLEN OSMOND ROAD  - HUTT ROAD,138.612812229703,-34.9387167492239
177,FULLARTON ROAD - FISHER STREET RN,138.625851910052,-34.9568848981088
178,DUTHY STREET  - FISHER STREET,138.614810675736,-34.9573986547625
180,HUTT ROAD -GREENHILL ROAD -GEORGE STREET,138.612748520129,-34.9405364898295
181,GREENHILL ROAD-PEACOCK ROAD-KING WILLIAM,138.600529835936,-34.9413323367569
182,DUTHY STREET  - WATTLE STREET,138.614590712742,-34.9544104331172
185,CROSS ROAD -EAST AVENUE -WINSTON AVENUE,138.581761188768,-34.9668232282851
186,PORT ROAD - EAST AVENUE,138.551058051097,-34.8916200860887
187,BURBRIDGE ROAD -BAGOT AVENUE BROOKER TERRACE,138.561320823638,-34.9322936643649
188,SOUTH ROAD -EVERARD AVENUE BARWELL AVENUE,138.571393256969,-34.9463331368301
189,SALISBURY HWY - SPAINS ROAD,138.633928529189,-34.7707755055495
190,MAIN NORTH ROAD -JOHN RICE AVENUE,138.676395166632,-34.7465857185355
191,MAIN NORTH ROAD -HOGARTH ROAD -SHANDON DRIVE,138.676287739956,-34.7414540173257
192,ADELAIDE ROAD-JULIAN TERRACE,138.748278779059,-34.6033108682763
193,MURRAY STREET -BAROSSA VALLEY WAY,138.74909756872,-34.597213444142
194,MAIN NORTH ROAD -MIDWAY ROAD -FAIRFIELD ROAD,138.674989248203,-34.7289431564475
195,MAIN NORTH ROAD -PHILIP HIGHWAY -YORKETOWN ROAD,138.673184709154,-34.7196951274992
196,MAIN NORTH ROAD -ELIZABETH WAY -IFOULD ROAD,138.673519363289,-34.7155455012154
197,MAIN NORTH ROAD -TOLMER ROAD -WOMMA ROAD,138.678490725084,-34.7072111216893
198,MAIN NORTH ROAD -MIDWAY ROAD -WOODFORD ROAD,138.683538890764,-34.6996082065799
199,HAMPSTEAD ROAD - TAUNTON ROAD,138.619825264264,-34.8820156733409
200,SALISBURY HWY -PARK TERRACE -WATERLOO CORNER ROAD,138.640370336634,-34.7636254138007
201,CROSS ROAD -DUTHY STREET -HARROW TERRACE,138.61539695917,-34.9651268394729
202,NORTH EAST ROAD  RESERVOIR ROAD,138.687949491843,-34.8315483602014
203,GRAND JUNCTION ROAD -RESERVOIR ROAD,138.688915639112,-34.8439174350105
204,LOWER NORTH EAST ROAD -AWOONGA ROAD,138.694589607174,-34.8557177660882
205,SUDHOLZ ROAD - SIR ROSS SMITH BOULEVARD,138.650579275806,-34.8531081404166
206,MAIN NORTH EAST ROAD - SUDHOLZ ROAD,138.655547406331,-34.8572337766944
207,ANZAC HIGHWAY - LEADER STREET,138.576906765506,-34.949084618776
208,ROWELLS ROAD - PIERSON ST,138.535307489565,-34.9196617532858
209,ANZAC HIGHWAY -BECKMAN STREET GRAY STREET,138.563173556658,-34.9584554515439
211,DAWS ROAD - WINSTON AVENUE RN,138.583714152579,-34.9924097897557
212,BELAIR ROAD - GRANGE ROAD - NEWARK ROAD,138.609439153279,-34.9764493927163
213,GOODWOOD ROAD -GRANGE ROAD -EDWARD STREET,138.591640162741,-34.9772513702827
214,SOUTH ROAD -EDWARD STREET ACKLAND STREET,138.573749691879,-34.9781751020271
216,SOUTH ROAD EASTERN ACCESS ROAD  KATEENA ST,138.565187732458,-34.8562235533784
217,SOUTH ROAD - FURNESS AVENUE RN,138.574160920152,-34.9831684405413
218,SIR DONALD BRADMAN DR - IKEA ACCESS ROAD,138.537288861678,-34.9328272934383
219,SOUTH ROAD - RAGLAN AVENUE RN,138.573849449598,-34.979619445332
220,GLEN OSMOND ROAD -KENILWORTH ROAD YOUNG STREET,138.620844607846,-34.9437424151296
221,GOODWOOD ROAD - LEADER STREET,138.589435304449,-34.9485948228623
222,MAIN NORTH ROAD - BLACK TOP ROAD,138.679125468457,-34.7520559442674
223,SOUTH ROAD EASTERN ACCESS ROAD  DAYS ROAD,138.566020241542,-34.8584037821554
224,TAPLEYS HILL ROAD - TRIMMER PARADE,138.513733983031,-34.8917904888193
225,OLD PORT ROAD -FREDERICK ROAD -WEBB STREET,138.503014032409,-34.8595506263182
226,MARION ROAD - RAGLAN AVENUE - BRAY STREET,138.556023561685,-34.980559864231
227,GRAND JUNCTION ROAD -AWOONGA ROAD,138.693940886841,-34.8436973326054
228,FULLARTON ROAD - MAITLAND STREET,138.627203916151,-34.9772036849428
229,PORTRUSH ROAD - CATOR STREET RN,138.642691363257,-34.9424016324449
232,RICHMOND ROAD-DEACON AV,138.567746985057,-34.9422756404499
233,MAIN NORTH ROAD  WOOLWOOTHS DISTRIBUTION CENTRE,138.606580149018,-34.8392772845995
234,NORTH EAST ROAD  WRIGHT ROAD  SMART ROAD,138.683021903099,-34.8337714445873
235,MAIN SOUTH ROAD  PENNEYS HILL ROAD,138.525136567608,-35.147215310044
236,FINDON ROAD -TRIMMER PARADE -FIFE STREET,138.53153610832,-34.8910086458156
237,SOUTH ROAD - HONEYPOT ROAD RN,138.525032956787,-35.1455635638167
238,MAIN NORTH ROAD -SMITH ROAD -PARK TERRACE,138.661979106799,-34.7748245918184
239,SOUTH ROAD - CHANDLERS HILL ROAD,138.559481464719,-35.0606430164421
240,SOUTH ROAD -PIMPALA ROAD -SHERRIFFS ROAD,138.527191328636,-35.1050518929287
241,SOUTH ROAD -DOCTORS ROAD -BEACH ROAD,138.524477565082,-35.136727144017
242,NORTH EAST ROAD  MONTAGUE ROAD,138.692654165266,-34.82829311461
243,NORTH EAST ROAD  GOLDEN GROVE ROAD,138.693757674688,-34.827926398386
244,COMMERCIAL ROAD-JOHN RICE AV -GAWLER ST,138.648892605798,-34.7539458470546
245,NORTH EAST ROAD  TTP CAR PARK ENTRY (NORTH),138.691667322271,-34.8287882472588
246,THE PARADE - OSMOND TERRACE,138.632195451448,-34.9213550161411
247,MCINTYRE ROAD  BRIDGE ROAD,138.657061772823,-34.798025043185
248,BRIDGE ROAD - CLAYSON ROAD RN,138.664592567839,-34.7894702754205
249,BRIDGE ROAD - SMITH ROAD,138.672335129175,-34.7810993529078
250,KINGS ROAD - SALISBURY HIGHWAY,138.626345249108,-34.7792101436559
251,GRAND JUNCTION ROAD  EASTERN PDE,138.536928722976,-34.8510927128771
252,MAIN NORTH ROAD - THE GROVE WAY - SAINTS ROAD,138.669456114734,-34.7661421953404
253,PORT WAKEFIELD ROAD -DIAGONAL ROAD,138.598778533711,-34.8315689459562
254,BRIDGE ROAD - RESEARCH ROAD RN,138.640145659549,-34.8194333081632
255,OSMOND TERRACE -KENSINGTON ROAD -PRESCOTT TERRACE,138.63254652811,-34.9274198606545
256,MILITARY ROAD -WEST LAKES BOULEVARD,138.482149692978,-34.8716684964809
257,WEST LAKES BVD -TURNER DRIVE,138.493933274197,-34.8773208568573
258,FREDERICK ROAD - WEST LAKES BOULEVARD,138.503702537821,-34.8798206855137
259,WEST LAKES BOULEVARD - TAPLEYS HILL ROAD,138.512782847913,-34.8794299622831
260,SUDHOLZ ROAD  - BLACKS ROAD,138.653362376048,-34.8556139845922
261,REGENCY ROAD   GALLIPOLI DR,138.575520782631,-34.8749014799884
262,PORT ROAD - PHILIPS STREET,138.57791273366,-34.913397274971
263,UNLEY ROAD - WATTLE STREET - PARK STREET,138.607813746671,-34.95476387612
264,NORTH EAST ROAD  GALWAY AV,138.615021716171,-34.8881056979442
265,DARLEY ROAD - LOWER NORTH EAST ROAD,138.668897723307,-34.8736184456661
266,RICHMOND ROAD - BROOKER TERRACE - GROVE AVENUE,138.562278041312,-34.942481471764
268,MARION ROAD - MOORINGE AVENUE,138.554463166636,-34.9597406533532
269,THE GROVE WAY - STANFORD ROAD RN,138.677312422164,-34.7692043011963
270,KINGS ROAD - HORRIE MILLER AVE,138.643755034189,-34.7898077077565
271,MAIN NORTH ROAD - CLAYSON ROAD - FROST ROAD,138.65424810265,-34.7831590142562
272,MAIN NORTH ROAD -MCINTYRE ROAD -KINGS ROAD,138.647121764733,-34.7916939158576
273,UNIVERSITY DR STURT DR,138.57298447241,-35.0185454553114
274,MAIN NORTH ROAD - MAWSON LAKES BVD,138.625229219226,-34.8162130557055
275,BRIDGE ROAD - KESTERS ROAD RN,138.649273028435,-34.8067546176846
276,NORTH EAST ROAD  HANCOCK ROAD,138.718699486277,-34.8210404942317
277,MAIN NORTH ROAD - MONTAGUE ROAD,138.617500421506,-34.8245810362298
278,BRIDGE ROAD - MONTAGUE ROAD,138.635642167509,-34.8243942397326
279,PARK TERRACE - RAILWAY LEVEL CROSSING,138.57802942531,-34.9079366491064
280,BRIDGE ROAD - WRIGHT ROAD RN,138.626547991909,-34.8346293798801
281,DARLEY ROAD -GORGE ROAD -NEWTON ROAD,138.67130092526,-34.876450164795
282,MAIN NORTH EAST ROAD - TAUNTON ROAD,138.621733755788,-34.8829815786639
283,ASCOT AVENUE - HARRIS ROAD RN,138.628072400288,-34.8881538351446
284,DIAGONAL ROAD  - MORPHETT ROAD,138.539834996466,-35.0098456569776
285,STEPHEN TERRACE - WALKERVILLE TERRACE RN,138.614590624219,-34.8973374865534
287,GRAND JUNCT ROAD-WALKLEYS ROAD-SUDHOLZ ROAD,138.649464828975,-34.8461540510904
288,WALKLEYS ROAD - WRIGHT ROAD RN,138.645287810015,-34.835787084336
290,FULLARTON ROAD - GRANT AVENUE RN,138.62396418962,-34.9323816964386
292,MARION ROAD-SIXTH AV-WALLALA AV,138.556541969635,-34.9870698553277
294,SHERRIFFS ROAD BRODIE ROAD SOUTH,138.511085633555,-35.1058669433291
295,KING WILLIAM ROAD - PARK STREET - MITCHELL ST,138.600080228535,-34.9552512830254
296,SOUTH ROAD - GEORGE STREET RN,138.568943823646,-34.9202766315536
297,VICTORIA ROAD WILLS ROAD,138.500952261199,-34.8290116113713
298,SOUTH ROAD - LONDON ROAD - DEACON AVENUE,138.570723762208,-34.9374853180331
299,BELAIR ROAD - PRINCES ROAD RN,138.609254458432,-34.9741379743908
300,BELAIR ROAD - BLYTHEWOOD ROAD,138.611547955958,-34.9837838582767
301,MAGILL ROAD - SYDENHAM ROAD - GEORGE STREET,138.627110609057,-34.9154952670454
302,THE PARADE - GEORGE STREET RN,138.636601671557,-34.9211343355341
303,FULLARTON ROAD - WATTLE STREET RN,138.625632844747,-34.9538516314603
304,COMMERCIAL ROAD -DALKEITH ROAD-NASHWAUK CR,138.47834485728,-35.2017685820623
305,EASTERN PDE    - GRAND TRUNKWAY,138.514766454203,-34.836064820769
307,SOUTH ROAD - CORUNNA AVENUE RN,138.574293571875,-34.9849830420163
308,SOUTH ROAD - HAWKER STREET RN,138.568922726236,-34.8924206073377
309,TAPLEYS HILL ROAD - CLARK TERRACE,138.51361145549,-34.8900481543645
310,SHERRIFFS ROAD - HILLIER ROAD RN,138.522060669135,-35.1053166620863
311,COMMERCIAL ROAD - DALE STREET - GODFREY STREET,138.506630155443,-34.8462741318587
312,BRIGHTON ROAD-JETTY ROAD-MAXWELL,138.520180358156,-34.9800400372071
313,JETTY ROAD  - GORDON STREET,138.517723343569,-34.9801610793405
314,ST VINCENT ST  PERKINS DR,138.514931073095,-34.8433160140177
