,site_no,hour_of_day,DestId,index
514,34,10,1346,380
515,34,11,1346,312
516,34,12,1346,332
517,34,13,1346,368
518,34,14,1346,296
519,34,15,1346,354
520,34,16,1346,358
521,34,17,1346,401
522,34,18,1346,343
523,34,19,1346,195
524,34,20,1346,129
525,34,21,1346,132
526,34,22,1346,72
527,34,23,1346,44
528,36,0,3037,22
529,36,1,3037,17
530,36,2,3037,16
531,36,3,3037,12
532,36,4,3037,16
533,36,5,3037,54
534,36,6,3037,402
535,36,7,3037,593
536,36,8,3037,678
537,36,9,3037,498
538,36,10,3037,369
539,36,11,3037,362
540,36,12,3037,471
541,36,13,3037,395
542,36,14,3037,317
543,36,15,3037,305
544,36,16,3037,229
545,36,17,3037,242
546,36,18,3037,201
547,36,19,3037,145
548,36,20,3037,151
549,36,21,3037,71
550,36,22,3037,65
551,36,23,3037,34
552,37,0,3038,27
553,37,1,3038,16
554,37,2,3038,12
555,37,3,3038,12
556,37,4,3038,13
557,37,5,3038,26
558,37,6,3038,163
559,37,7,3038,421
560,37,8,3038,834
561,37,9,3038,424
562,37,10,3038,285
563,37,11,3038,328
564,37,12,3038,434
565,37,13,3038,300
566,37,14,3038,262
567,37,15,3038,246
568,37,16,3038,240
569,37,17,3038,295
570,37,18,3038,277
571,37,19,3038,186
572,37,20,3038,147
573,37,21,3038,92
574,37,22,3038,111
575,37,23,3038,56
576,38,0,4783,96
577,38,1,4783,46
578,38,2,4783,43
579,38,3,4783,25
580,38,4,4783,50
581,38,5,4783,244
582,38,6,4783,986
583,38,7,4783,1854
584,38,8,4783,2656
585,38,9,4783,2047
586,38,10,4783,1548
587,38,11,4783,1463
588,38,12,4783,1726
589,38,13,4783,1594
590,38,14,4783,1485
591,38,15,4783,1690
592,38,16,4783,1559
593,38,17,4783,1834
594,38,18,4783,1584
595,38,19,4783,1015
596,38,20,4783,681
597,38,21,4783,541
598,38,22,4783,403
599,38,23,4783,185
600,39,0,3112,27
601,39,1,3112,11
602,39,2,3112,5
603,39,3,3112,6
604,39,4,3112,7
605,39,5,3112,40
606,39,6,3112,182
607,39,7,3112,279
608,39,8,3112,493
609,39,9,3112,339
610,39,10,3112,242
611,39,11,3112,223
612,39,12,3112,256
613,39,13,3112,252
614,39,14,3112,239
615,39,15,3112,261
616,39,16,3112,214
617,39,17,3112,312
618,39,18,3112,275
619,39,19,3112,170
620,39,20,3112,104
621,39,21,3112,98
622,39,22,3112,66
623,39,23,3112,70
624,40,0,7544,28
625,40,1,7544,34
626,40,2,7544,11
627,40,3,7544,11
628,40,4,7544,21
629,40,5,7544,139
630,40,6,7544,450
631,40,7,7544,875
632,40,8,7544,1406
633,40,9,7544,970
634,40,10,7544,683
635,40,11,7544,682
636,40,12,7544,707
637,40,13,7544,643
638,40,14,7544,589
639,40,15,7544,645
640,40,16,7544,662
641,40,17,7544,707
642,40,18,7544,678
