date,trans,rain,eva,max_temp,min_temp,max_humid,min_humid,wind,solar
24/04/2013,2.56,0.72,0,21.1,11.94,90.8,47.8,2.964,13.646
25/04/2013,2.44,1.24,0,21.62,11,91.2,45.6,2.28,13.24
26/04/2013,2.56,0.52,0,22.18,11.08,90.2,42.4,2.28,13.31
27/04/2013,3.46,0.12,0,23.54,13.16,80.2,37.6,3.222,13.508
28/04/2013,3.14,0,0,23.28,13.22,79,44,2.998,13.07
29/04/2013,2.12,5.84,0,20.28,13.96,90.2,52,2.624,10.124
30/04/2013,2.2,0.36,0,20.62,12.96,84.4,47.6,1.944,11.694
1/05/2013,2.18,0.72,0,19.84,12.3,92.4,44.8,2.35,9.882
2/05/2013,2.34,5.6,0,18.14,9.98,88,40.2,2.804,11.46
3/05/2013,2.82,1.64,0,20.8,10.1,81.2,37.6,2.796,12.748
4/05/2013,2.04,1.2,0,18,10.4,90.8,45.6,2.438,12.376
5/05/2013,1.96,0.4,0,17.96,10.1,86.4,51,2.26,9.86
6/05/2013,2.04,1.52,0,19.26,11.12,85.4,45.2,2.214,10.58
7/05/2013,2.42,0.08,0,21.74,10.8,84,41.8,2.396,13.35
8/05/2013,3,0.16,0,23.78,11.92,81.2,32.4,2.696,12.514
9/05/2013,2.72,0.36,0,20.9,13.26,82.4,37.8,2.982,11.076
10/05/2013,2.82,4.36,0,22.24,12.24,81.4,38.6,2.838,11.762
11/05/2013,2.3,1.8,0,19.24,13.02,88.6,44.8,3.114,11.454
12/05/2013,1.98,4.36,0,18.48,10.58,91.6,45.6,2.922,11.17
13/05/2013,2.02,2.12,0,18.2,9.52,89.6,45.2,2.628,11.664
14/05/2013,2.04,3.52,0,18.56,9.9,81.2,40.6,2.25,10.616
15/05/2013,2,0.92,0,19.44,9.7,83,41.8,2.106,10.69
16/05/2013,2.16,1.44,0,20.28,8.46,84.6,33.6,1.96,12.198
17/05/2013,2.18,0,0,20.28,9.96,78.4,37.4,2.148,11.132
18/05/2013,2.02,0.04,0,20.66,10.38,79.2,41.4,1.84,10.818
19/05/2013,1.92,0.8,0,21.12,10.7,85.2,40.8,1.844,9.648
20/05/2013,1.96,0.04,0,21.56,11.38,78.8,33.4,1.666,11.156
21/05/2013,2.42,0.04,0,21.84,10.5,83.6,36.4,2.602,10.274
