,site_no,hour_of_day,index,hourly_traffic_avg
703,3030,7,607.0,2264.827322404372
704,3030,8,1014.0,2953.5956284153
705,3030,9,628.0,2508.3021857923504
706,3030,10,431.0,2299.7579234972695
707,3030,11,387.0,2421.5377049180356
708,3030,12,378.0,2556.696721311475
709,3030,13,341.0,2512.4579234972666
710,3030,14,298.0,2653.8398907103833
711,3030,15,276.0,2922.287978142077
712,3030,16,270.0,3322.9655737704948
713,3030,17,440.0,3588.532240437156
714,3030,18,394.0,2391.128415300545
715,3030,19,217.0,1673.1431693989061
716,3030,20,171.0,1434.9180327868846
717,3030,21,146.0,1401.162841530054
718,3030,22,138.0,1214.9999999999998
719,3030,23,92.0,919.8808743169396
720,3031,0,,594.3180327868854
721,3031,1,,433.26721311475376
722,3031,2,,350.3989071038253
723,3031,3,,313.1699453551913
724,3031,4,,311.1890710382512
725,3031,5,,424.1147540983609
726,3031,6,,974.1726775956283
727,3031,7,,2165.592896174864
728,3031,8,,2980.783606557377
729,3031,9,,2430.7431693989092
730,3031,10,,2210.0311475409817
731,3031,11,,2326.2715846994547
732,3031,12,,2420.458469945355
733,3031,13,,2323.83005464481
734,3031,14,,2387.366120218578
735,3031,15,,2553.054644808745
736,3031,16,,2794.4038251366123
737,3031,17,,2866.515300546451
738,3031,18,,2170.2928961748635
739,3031,19,,1585.2890710382496
740,3031,20,,1297.8464480874316
741,3031,21,,1259.55519125683
742,3031,22,,1112.9710382513658
743,3031,23,,847.6726775956292
744,3032,0,25.0,323.08688524590184
745,3032,1,15.0,217.3661202185791
746,3032,2,16.0,161.41366120218584
747,3032,3,25.0,135.60655737704923
748,3032,4,64.0,148.78797814207655
749,3032,5,111.0,276.87595628415295
750,3032,6,285.0,742.3000000000002
751,3032,7,712.0,1839.9262295081974
752,3032,8,997.0,2790.9464480874294
753,3032,9,615.0,2083.2628415300537
